name,molecule_path,refcode
ACETAC,/ACETAC03_mol_relaxed.xyz,ACETAC03
GLYCIN,/GLYCIN20_mol_relaxed.xyz,"GLYCIN16,GLYCIN20,GLYCIN32,GLYCIN50,GLYCIN68"
